type_concours;niveau;echelle;annee;laureat;isLaureat;ordre;prix;sexe;prenom;nom;id;url_video;titre;url_these;code_labo;labo;code_etablissement;etablissement
MT180;Finale;National;2015;Laureat;TRUE;3;Troisieme prix du jury;M;Gregory;PACINI;2015PACGRE;https://www.youtube.com/watch?v=FzDDfHxMg4k;Cofacteurs cellulaires du facteur de restriction virale BST2/Tetherin : Rôle physiologique dans la fonction de BST2 et sa modulation par les proteines virales Vpu et Nef;http://www.theses.fr/s115454;200217519N;Institut Cochin;0755598C;Universite Sorbonne Paris Cite
MT180;Finale;National;2016;Laureat;TRUE;2;Deuxieme prix du jury, Prix du public;M;Bertrand;COCHARD;2016COCBER;https://www.youtube.com/watch?v=96loSvYH-sE;Figures de l'alienation dans l'oeuvre de Guy Debord;http://www.theses.fr/s159199;200815548V;Centre de Recherche en Histoire des Idees;0062126D;Universite Côte d'Azur
MT180;Finale;National;2016;;FALSE;;;F;Perrine;BERMENT;2016BERPER;https://www.youtube.com/watch?v=Su2cPSUwL1U;Modelisation mathematiques de tumeurs cerebrales de bas grade et assimilation de donnees cliniques d'imagerie;http://www.theses.fr/s134777;200711916B;Institut de Mathematiques de Bordeaux;0333178A;Communaute d'universites et etablissements d'Aquitaine
MT180;Finale;National;2015;;FALSE;;;F;Charlotte;ROY;2015ROYCHA;https://www.youtube.com/watch?v=X4ioSjEdot4;Effet de la stimulation rythmique audio-tactile sur les mouvements de coordination;http://www.theses.fr/s142603;199914310N;Centre Europeen de Recherche sur le Mouvement Humain;0342255S;Languedoc-Roussillon Universites
MT180;Finale;National;2015;;FALSE;;;F;Justine;CRUZ;2015CRUJUS;https://www.youtube.com/watch?v=c4-vAk2JZME;Etude de la contamination par les pesticides des milieux eau, air et sols : developpement de nouveaux outils et application à l’estuaire de la Gironde;http://www.theses.fr/2015BORD0221;199512085M;Environnements et Paleoenvironnements Oceaniques et Continentaux;0333178A;Communaute d'universites et etablissements d'Aquitaine
MT180;Finale;National;2015;;FALSE;;;M;Geoffrey;DUMONTEIL;2015DUMGEO;https://www.youtube.com/watch?v=T0Fi8KOEo84;Synthese et pharmacomodulation de composes naturels;;201220206R;Institut de Chimie Organique et Analytique;0861420B;Universite confederale Leonard de Vinci
MT180;Finale;National;2015;;FALSE;;;F;Laurie-Anne;SAPEY-TRIOMPHE;2015SAPLAU;https://www.youtube.com/watch?v=5ih33Y1GSzk;Inference et apprentissage perceptifs dans l'autisme : une approche neurophysiologique et comportementale;http://www.theses.fr/s101896;201119399T;Centre de Recherche en Neurosciences de Lyon;0694094A;Universite de Lyon
MT180;Finale;National;2015;;FALSE;;;M;Than;NHAT PHAM;2015NHATHA;https://www.youtube.com/watch?v=8ZCS6p9mhGk;Caracterisation et modelisation du comportement thermodynamique du combustible RNR-Na sous irradiation;http://www.theses.fr/2014AIXM4044;200815504X;Fonctions et Dysfonctions Epitheliales;0251985X;Universite Bourgogne - Franche-Comte
MT180;Finale;National;2016;;FALSE;;;M;Thomas;PERROT;2016PERTHO;https://www.youtube.com/watch?v=oMGMg051A4Y;Diversite fonctionnelle des systemes de detoxication des champignons lignolytiques;;200117307M;Interactions Arbres/Micro-Organismes;0542493S;Universite de Lorraine
MT180;Finale;National;2017;;FALSE;;;F;Camille;JACQUELINE;2017JACCAM;https://www.youtube.com/watch?v=HCRb308MXb8;Communaute d'agents pathogenes et incidence des cancers : Le rôle de l'ecologie du systeme immunitaire.;http://www.theses.fr/s152606;201119437J;Maladies Infectieuses et Vecteurs : Ecologie, Genetique, Evolution et Contrôle;0342255S;Languedoc-Roussillon Universites
MT180;Finale;National;2016;;FALSE;;;F;Thais;HAUTBERGUE;2016HAUTHA;https://www.youtube.com/watch?v=JxQY-0N1Sgk;Caracterisation chimique et toxicologique du metabolome secondaire de Penicillium et Fusarium par marquage isotopique et spectrometrie de masse.;http://www.theses.fr/s159716;201119649P;Toxicologie Alimentaire;0312758E;Universite federale de Toulouse Midi-Pyrenees
MT180;Finale;National;2016;;FALSE;;;M;Aurelien;QUILLET;2016QUIAUR;https://www.youtube.com/watch?v=0Pgg-UzTfxM;Rôle des micro ARNo dans le contrôle de la secretion par les pheochromocytomes.;http://www.theses.fr/s149257;201019271H;Differenciation et Communication Neuronale et Neuroendocrine;0142382N;Normandie Universite
